地区,用户id,昵称,性别,微博数,粉丝数,关注数,id,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
四川,2970452952,李子柒,女,411,25616137,183,4426682368524841,七月枣 八月瓜九月板栗笑哈哈…秋天就是甜蜜蜜的季节啊山上栗子和橡子都掉的差不多了捡了些回来尝一口甜才对得起这天凉好个秋啊！#朝花柒拾#  李子柒的微博视频 ,,"http://f.video.weibocdn.com/001xtGPelx07xJMc6yZW01041205nrGm0E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1CwnkDw1GXwCQx&Expires=1592982319&ssig=YWbo8%2BsR6r&KID=unistore,video",,2019-10-12,烹饪教程 · 视频社区,396251,89855,49947,朝花柒拾,
四川,2970452952,李子柒,女,411,25616137,183,4422369860500909,这几天才彻底忙完谷子，晒谷子的这几天做了些家里用的小玩意儿也有去年做的落地衣架，竹丝灯罩，台灯，各种餐具，玉米皮编的很多小玩意儿！混混日子呗#朝花柒拾#  #我和国旗合个影#  李子柒的微博视频 ,,"http://f.video.weibocdn.com/000RnOk9lx07xqNn148E01041207XnQQ0E030.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1CwnkDw1GXwCQx&Expires=1592982319&ssig=tfsmayEgXV&KID=unistore,video",,2019-09-30,日常 · 视频社区,437047,41686,35088,"朝花柒拾,我和国旗合个影",
四川,2970452952,李子柒,女,411,25616137,183,4416226451111931,春种一粒，秋收百颗。育秧 打田 插秧 生长 抽穗 扬花 灌浆 再到成熟 收获至端上饭桌，知道我们吃的食物从哪里来！珍惜每一颗劳动而来的粮食，好好吃饭#朝花柒拾#  #萌芽#  李子柒的微博视频 ,,"http://f.video.weibocdn.com/003hCZeZlx07wZKWEKi401041208rP2t0E030.mp4?label=mp4_720p&template=1280x720.23.0&trans_finger=9ff95bc90ce0744bdc0ee98b663a9435&ori=0&ps=1CwnkDw1GXwCQx&Expires=1592982291&ssig=iubpR9Pq7J&KID=unistore,video",,2019-09-14,美食侦探 · 视频社区,639601,109279,87679,"朝花柒拾,萌芽",
四川,2970452952,李子柒,女,411,25616137,183,4413607766644333,春生夏长，秋收冬藏！从上古时代我们的祖辈就遵循二十四节气劳作一颗小小的玉米种子、萌芽、生长、收获！再到餐桌上的玉米粑 窝头 玉米片儿要记得我们吃的食物从哪里来哦#朝花柒拾#  李子柒的微博视频 ,,"http://f.video.weibocdn.com/002tnVi4lx07wOel5xcc01041207durH0E030.mp4?label=mp4_720p&template=1280x720.23.0&trans_finger=9ff95bc90ce0744bdc0ee98b663a9435&ori=0&ps=1CwnkDw1GXwCQx&Expires=1592982291&ssig=SkmigHZhio&KID=unistore,video",,2019-09-06,烹饪教程 · 视频社区,464337,57283,41879,朝花柒拾,
四川,2970452952,李子柒,女,411,25616137,183,4408548009789943,好像每年黄桃熟了都会重复一波去年的操作、黄桃罐头、果酱、果干…今年还挑了些软的做了黄桃酒尝试了以为会是黑暗料理的香草黄桃烤排骨，结果香到ju手指头好吗！！#朝花柒拾# #猕足珍贵有你真好#  李子柒的微博视频 ,,"http://f.video.weibocdn.com/003piY7plx07wrXBs83S01041205LgwX0E030.mp4?label=mp4_720p&template=1280x720.24.0&trans_finger=3e5d616a0b846b231c063771e4afedd3&ori=0&ps=1EO8O2oFB1ePdo&Expires=1592982312&ssig=5hOxWA7Jf%2F&KID=unistore,video",,2019-08-23,微博视频,455759,74276,60555,"朝花柒拾,猕足珍贵有你真好",
四川,2970452952,李子柒,女,411,25616137,183,4406780664724978,围方帐，张灯烛，记忆里那难忘的皮影戏还有那栩栩如生的古代英雄美人，李白举杯邀明月，貂蝉拜月…许多年前，爷爷讲给我听的文化故事不如将这同是2000多年历史的纸雕与皮影戏连在一起雕刻一副画卷，你且听一听看一看【转+晒加购截图】抽177位送此中秋月饼礼盒 【晒加购抽免单】可做花灯！点击下方↓↓↓加购，并在【评论区晒出购物车截图】即可参与抽免  抽奖详情,"https://wx3.sinaimg.cn/large/b10d83d8ly1g648stie0aj20tv2r1u0x.jpg,https://wx4.sinaimg.cn/large/b10d83d8ly1g648sv3pnpj20tv2r0hdt.jpg,https://wx4.sinaimg.cn/large/b10d83d8ly1g64956fk60j20tv2y1npd.jpg,https://wx2.sinaimg.cn/large/b10d83d8ly1g648sw4dwrj20tv2ukhdt.jpg,https://wx1.sinaimg.cn/large/b10d83d8ly1g6499mt115j20tv296hdt.jpg,https://wx2.sinaimg.cn/large/b10d83d8ly1g64955kf68j20tv3pqb2a.jpg,https://wx4.sinaimg.cn/large/b10d83d8ly1g648sxccomj20tv2wve81.jpg,https://wx3.sinaimg.cn/large/b10d83d8ly1g64968vz2fj222o3404qq.jpg,https://wx1.sinaimg.cn/large/b10d83d8ly1g64969lkpyj234022o1ky.jpg",,,2019-08-18,,134476,12982,10576,,
四川,2970452952,李子柒,女,411,25616137,183,4403478015200989,一针一线是底蕴，一丝一缕是文化在蜀绣上看见，川蜀大地千年风俗冬去春来，又是一年！千年岁月流淌，蜀绣之美依旧！愿更多人知道中国优秀的传统文化，迟到的七夕礼物，愿你我皆平安#遇见非遗# #朝花柒拾# #七夕爱豆表白大赛#  李子柒的微博视频 ,,"http://f.video.weibocdn.com/003qRkMrlx07w5E3dwso01041205FScI0E020.mp4?label=mp4_720p&template=1280x720.24.0&trans_finger=3e5d616a0b846b231c063771e4afedd3&ori=0&ps=1EO8O2oFB1ePdo&Expires=1592982301&ssig=Ds3kjC5hcO&KID=unistore,video",,2019-08-09,微博视频,627879,87378,80461,"朝花柒拾,七夕爱豆表白大赛",
四川,2970452952,李子柒,女,411,25616137,183,4402377853269029,夏天正是打麻竹笋的时候，做了些酸笋。螺蛳、猪筒骨…熬够时辰当作底汤！一把粉几根菜，酸笋酸豆角 木耳萝卜干出锅撒几颗炒花生炸腐竹，一勺辣椒油“酸辣鲜香烫”一碗非遗柳州螺蛳粉就有了【转+晒加购截图】抽277位免单本产品 #七夕爱豆表白大赛#  #朝花柒拾# 地道柳州风味，李子柒柳州螺蛳粉。8小时精炖汤底搭配陈米米粉和七大配料，嗦粉嗦到灵 魂颤  李子柒的微博视频 抽奖详情,,,,2019-08-06,微博视频,375824,48637,34294,"七夕爱豆表白大赛,朝花柒拾",
四川,2970452952,李子柒,女,411,25616137,183,4401681871580816,同去年一样，今年也搭了一条南瓜路。没来得及吃的，都长成了又甜又糯的老南瓜。蒸南瓜，南瓜饭，咸蛋黄南瓜，南瓜奶浆～我奶奶是一天三顿吃南瓜都不带腻的最近熬夜多湿气重，就搭配红豆薏米粉来喝！【转+晒加购截图】抽177位免单本新品#七夕爱豆表白大赛# #朝花柒拾# 丝滑不卡喉，李子柒红豆薏米粉。2分钟五谷代餐，好吃不腻，严选自然好植株，营养更放心。  李子柒的微博视频 抽奖详情,,,,2019-08-04,微博视频,244008,26755,20439,"七夕爱豆表白大赛,朝花柒拾",
四川,2970452952,李子柒,女,411,25616137,183,4401308943325282,红人2019,,,,2019-08-03,微博品牌活动,103498,3501,815,,
四川,2970452952,李子柒,女,411,25616137,183,4401308875930804,红人2019,,,,2019-08-03,微博品牌活动,80116,2066,342,,
四川,2970452952,李子柒,女,411,25616137,183,4398437120052487,咕噜咕噜…番茄又熟了再不摘的话又便宜了土地爷爷做了好吃的“红宝石番茄酱”浓汤番茄锅，摘点时令的各种蔬菜，凑活凑活也是一餐……#美食大v秀#  #朝花柒拾#  李子柒的微博视频 ,,"http://f.us.sinaimg.cn/0002EdDMlx07vJsqrg5G01041207Rlyf0E030.mp4?label=mp4_720p&template=1280x720.23.0&trans_finger=9ff95bc90ce0744bdc0ee98b663a9435&ori=0&ps=1EO8O2oFB1ePdo&Expires=1592982312&ssig=NVNMsm57JP&KID=unistore,video",,2019-07-26,微博视频,355240,42552,32774,"美食大v秀,朝花柒拾",
四川,2970452952,李子柒,女,411,25616137,183,4393006545717315,又一年荷花季寻了些荷花、荷叶、藕带和莲藕顺手做几道夏季时令菜，剩下的莲藕拿来做了桂花坚果藕粉我家老太太专属甜品！配上一盏荷花茶，只叹夏天太短！【转＋晒加购截图】抽177位柒家人免单本产品#美食大V秀# #朝花柒拾#高营养高营养好口感，李子柒桂花坚果藕粉。8种高品质配料无添加防腐剂老人小孩都放心吃。  李子柒的微博视频 ,,"http://f.us.sinaimg.cn/001lgFSdlx07vlywjjoY01041206Nm6X0E030.mp4?label=mp4_720p&template=1280x720.23.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1592982327&ssig=P1Yc%2FYugsE&KID=unistore,video",,2019-07-11,搜狗高速浏览器,363977,36864,36699,"美食大V秀,朝花柒拾",
四川,2970452952,李子柒,女,411,25616137,183,4388615570382366,从春末初甜到盛夏果实，尝试了另一种保存鲜果子的方法！以往每年都是做老冰棍，今年放肆一回！做了各种香甜的浆果蛋奶冰激淋！这个方子简单好吃，但糖分和热量太高。除了老人不能多吃之外，还有你！放下手中的冰激淋（超凶叉腰中）  李子柒的微博视频 ,,"http://f.us.sinaimg.cn/001cW4x1lx07v2ehicgM01041206ovbw0E030.mp4?label=mp4_720p&template=1280x720.22.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1592982327&ssig=jBFEmhE7Up&KID=unistore,video",,2019-06-29,微博视频,369340,55022,57760,,
四川,2970452952,李子柒,女,411,25616137,183,4386122148657440,春天有看不完的花，夏天有吃不完的水果！做了好多好多酱，够吃一阵子了！早上起床，摘够吃一天的蔬菜瓜果和花儿！做一顿丰盛的早餐。一日、两人、三餐、四季…❤️#朝花柒拾#  李子柒的微博视频 ,,"http://f.us.sinaimg.cn/003FDtAalx07uRfT8KH601041208My000E040.mp4?label=mp4_720p&template=1280x720.22.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1592982327&ssig=MADSsv5WgC&KID=unistore,video",,2019-06-22,微博视频,336468,36488,32470,朝花柒拾,
四川,2970452952,李子柒,女,411,25616137,183,4383542840566641,我们这没有野生香菇，于是就自己种了。这次是在之前打的树孔里加菌丝，季节合适的话小半年之后就陆续开始出菇啦。藏在山顶上，一来山顶温度低，二来避免被别人摘走！挑选好的香菇做了酱！夏天也能有得吃！转发+留言里抽取177位小伙伴免单#朝花柒拾#整朵醇厚香菇，李子柒朵朵香菇酱。整朵椴木香菇搭配遂昌冬笋，鲜上加鲜，下饭好物。  李子柒的微博视频  抽奖详情,,,,2019-06-15,微博视频,311734,47135,38850,朝花柒拾,
